text,sentiment,__source__
_2008 lol oh dnt worry u`l be able to squeeze it soon enough!! Hope you have a good day today!,positive,train_csv
" Cool! I have one (from a decluttering friend), but I don`t know how to play",neutral,train_csv
" no, New orleans.. been here since katrina ..",neutral,test_csv
This day is fkn UGLY & it matches my mood  unfortunatly. Time 2 blast off 2 the moon,negative,train_csv
"_is_Rad yeah it was **** D: im so tired, i have a headache and now i have to play a game of rygby D: but ill be right  **** <33",negative,train_csv
had a 100% raw day,negative,train_csv
my birthday chicken  http://bit.ly/whbuv,neutral,train_csv
 what are you doing here? I thought you were back at work today!,neutral,train_csv
_a_hart ah.. Birmingham! I remember being there in the Wrox days,neutral,train_csv
Dump your worries in the Stress Fire. Fun and profoundly freeing  http://budurl.com/c765,positive,train_csv
"_Lovato oh I see. Thanks for replying. anyway, how are you?",neutral,train_csv
whenever it rains it`s so hard to get motivated,negative,train_csv
"lacey is alright though. quite a few gashes, and she keeps her tail between her legs",neutral,train_csv
Feeling special @ looking4him first guy to give me flowers.,positive,train_csv
At the orthodontisssttt,neutral,train_csv
 goodnight baby loll jk night,positive,train_csv
yay it`s friday... hold on I have to work tomorrow,positive,train_csv
"the day after.... I`m not sick but a little tierd...a bit to much to drink, but I had fun!",neutral,train_csv
 Girls are confusing.,neutral,train_csv
 oh that makes sense! Well you are officially my first  from a celebrity!!,positive,train_csv
 That doesn`t sound fun,negative,train_csv
 Too much details !!!    (But glad he is better),positive,train_csv
- I LOVE YOU!!!! YOU MAKE ME SO HAPPY!!!!,positive,test_csv
I wish I could go back to bed with ,positive,train_csv
 Added 3 more spots in Memphis today and visited 2.  Needed a Hot Dog icon for a new restaurant so had to settle for a Hamburger,neutral,train_csv
aaahhh...just woke up! feels good to sleep in on a monday!!!,positive,train_csv
Pleeaaasee come out sun,neutral,test_csv
 I used to be - but that was a while ago now - your argument is pretty sound for a trolley pusher,neutral,train_csv
About to clock into work,neutral,train_csv
Happy Mothers Day!  Love your Mom...,positive,train_csv
even when we`re miles and miles apart; you`re still holding all of my heart    4 days until jonas brothers 3d concert experience w/candice,neutral,train_csv
thinking about new.. oh yes .. btw bankroll stays at $14.88.. so down a bit from yesterday.. and I won`t whine about bad beats  ..,positive,train_csv
So tired.,negative,test_csv
I`ve burnt my collerbone and arms and face! aww!,positive,train_csv
Time to take a astronomy test!,neutral,train_csv
   why!!!! u have to bring it to you 24/7 like the _team,neutral,train_csv
Sad to be leaving so soon,negative,train_csv
Is ANYBODY up? .... I`m sooo bored!,negative,train_csv
KMF going smoothly so far. Free stuff is always a plus.,positive,train_csv
? MADAYA KA CHRISTIAN. BLEH!!! I HATE U  http://plurk.com/p/wy2yg,negative,train_csv
my school is like the only one thats NOT on vacation.,neutral,train_csv
 lol.well.hope you find someone to give you a massage  wish i could but i`m half a world away lol,positive,train_csv
 http://twitpic.com/5h3ad - And Brazil??? WE LOVE YOU TOO!!,positive,train_csv
 I am soooo disapoointed I couldn`t make it  I will be there next time! Glad it was productive.,neutral,test_csv
my 6th wedding anniversary today... so lucky to have such a gorgeous wife,positive,train_csv
 i can almost imagine what the call taker must`ve felt like taking that call...especially if they have young ones at home.,neutral,train_csv
" come home, then. Not so boring here.",negative,train_csv
 it`s really gutwrenching.  So sad,negative,train_csv
"Mooorning! It`s Friday, and that`s terrific! Smile up!    :-|      :-D",positive,train_csv
 I accidently dropped it & now the screen is all messed,negative,train_csv
 It was BuckFast. Brain just went blank,negative,train_csv
 9 days  I`m about ready to visit Torchwood and see if they`ve heard anything,positive,train_csv
I am off to bed now....my family has a wonderful day planned for me today      Happy Mother`s Day,positive,train_csv
Selling artwork+ risk game with the boys+ startrek= just what i needed. What a good day,positive,train_csv
"I`m up. getting ready for skill. can`t wait to fail my bio final yay! ugh, honor classes suckkkk.  ):",negative,train_csv
" Good for you! I don`t think I`ll be joining later. I`m hyper as hell, though. WHEE!",positive,train_csv
" as nerdy as I am, I just found out it was Star Wars day today!  I love you D",positive,train_csv
 Yeah! I want it too. I love that 'Falling Slowly' song. It keeps playing in my head.,positive,train_csv
shares http://tinyurl.com/czhzb3 another id draft  http://plurk.com/p/rpzmx,neutral,train_csv
 the iphone,neutral,train_csv
I WANT A GARDEN  sitting inside when it`s sunny sucks.,negative,train_csv
already missing my biddy bops  home at mom`s for the night watching my little bro and getting some rest for my birthday party tomorrow :-D,neutral,train_csv
Alix`s graduation party!,neutral,test_csv
 i wish i was outside,positive,train_csv
Kicking Back In The Holidays  No More School for a whiles,neutral,train_csv
soooo sleepy.  but gotta finish this game.  lol. gettt it cavs!  whoop whoop,neutral,train_csv
My bum hurts.,negative,train_csv
" I`ll have to watch it soon then!  An I love, New York? Sweet! I`ll be on the lookout for that.",positive,train_csv
 coool thanks a lot  ****,positive,train_csv
O dios acaban de tocar The Pains Of Being Pure At Heart en el primavera sound  life is not fair,negative,train_csv
The apple keyboard is really cool. i want one. they used it in doctor who,positive,train_csv
_y_Tony Hey,neutral,train_csv
Dinner with the parental unit is always grand,positive,train_csv
 oh darn i`m not in london,negative,train_csv
_nash Ba-dum-tish!  You win,positive,train_csv
http://www.youtube.com/Lillysan I found out this morning I got 800+ subscribers! Thx!  Check on Lillysan Awards! **** Li,positive,train_csv
"7846 - almost catching  up, so gonna kick her ****, and woop i will b joing the 10k mile high club soon",negative,train_csv
"Today I`m sad, my cat of 10 years has just stopped eating, and is very sick.",negative,train_csv
http://yfrog.com/0xoxij Fry bread is good but they only gave me a little pinch of lettuce  ha ha,positive,test_csv
 rentaphone  yesy have,neutral,train_csv
got it? good. HAPPY MOTHERS DAY!,positive,train_csv
 hiya! been looking for you1,positive,test_csv
Its already been a crazy morning and its ONLY 1030,neutral,train_csv
 me too!,neutral,test_csv
 Tataindicom is not as good as Tatasky  Airtel broadband is better.,positive,train_csv
 ugh but they are so unattractive! u might as well drink from a regular glass. i really dont like them,negative,train_csv
" Good stuff, Smiles back? Why won`t you go to his concert too? :o. Wish I could instead of doing my music which is failing  lol x",positive,train_csv
don`t you hate it when you finish all your work and there`s still 1.25 hours left of work time,negative,train_csv
"_ I`m good thanks! Did you have a good drive? Careful with your blackberry, we don`t want you getting screamed at",positive,train_csv
at f***** work  .... want somebody to come ???,negative,train_csv
" Yes, I`m the only stupid girl of my kind!!",negative,train_csv
I am very bummed that there are no babydoll or spaghetti-strap tank Three Wolf Moon t-shirts. Love the meme; hate wearing a fabric box.,neutral,train_csv
Got approximately 3 hours of sleep last night....I love my life,positive,test_csv
 you`re just unhappy to return to occupying the same city as me  I am cry now too.,negative,train_csv
 Totally!!! Rock onnnn!,positive,train_csv
19 years for Phil Spector  http://bit.ly/199ZWD,neutral,train_csv
  Thank you!,positive,test_csv
 That was like eight years ago. Not so sure it would happen now,neutral,train_csv
I am not doing much  all well!,negative,train_csv
Just touched down in Changi. +1/2 hrs to kill before heading to Penang.  Must fly singapore air more often!,neutral,train_csv
Reading through today`s paper along with some watered down coffee compliments of my `rents...,neutral,train_csv
I heard an icecream truck and took of like a shot but I couldn`t catch it.,negative,train_csv
 - I shall post a notice in town so us Cork ladies know to watch out!! lol  You had fun then?? Sevens were the business !! ;),neutral,train_csv
"_davis Are you headed to a conference?  Oh and if you`re doing the book buying ban, you can always borrow, right?",neutral,train_csv
"Good mornin. Today will end early, woo. Gonna work on rick`s surprise PROJECT DUE ON TUESDAY",positive,train_csv
" dont be gloomy...go out and get urself ice-cream.or gin,whichever",positive,train_csv
"google wave next, can`t keep up with the 186 ways i can communicate with people now  what happened to good old fashioned letter writing?",neutral,train_csv
 ahh! Yay!  so you`re gonna get it?,positive,train_csv
 does it work on the iPhone as my MacBook is flat,neutral,train_csv
goin` to casa milan`s club house...,neutral,train_csv
"_ hehe go dye it beb! put more blonde innn  mine is lighter than it was, left it in  a bit too long oops><",neutral,train_csv
So so happy to be with  - she even makes doing laundry wonderful,positive,train_csv
Smith/Amherst mini-reunion last night was fun- how i miss the old days,neutral,train_csv
 that`s depressing,negative,train_csv
My throat is killing me,negative,train_csv
 something we all need sometime,neutral,train_csv
" well, as i mother & grandma i am a bit in a kidding mode",positive,test_csv
why is everyones tweets about britains got talent?! i feel left out,negative,test_csv
"Watching 1971 edition if Old Grey Whistle Test. Fanny, Mamas and the Papas & Isaac Hayes. Don`t make shows like this anymore",negative,train_csv
"wish I could feel no pain (8)  but it`s ok, at least they like Brazil!",positive,train_csv
me knows what to be tested on all the exam subjects except for english. **** davis.,negative,train_csv
"Oh hell, I forgot the non-alcoholic cider for Monday`s dinner. MPP is teetotaler. Now must drive to Waupoos. Have 7 cases of wine in car.",negative,train_csv
 i know its such a shame  i think they`ve got a good chance & i hope they do coz they are different aren`t they & great :]!,neutral,train_csv
Gone to the shiggity shwa. back Sunday.,neutral,train_csv
Starting the accounts for this year.,neutral,test_csv
" we have two small dogs, good to hear that Center Parcs wd take them. Cruising to New York on the Queen Mary 2, real treat",negative,train_csv
"I`m uploading some videos to youtube, will give link once I get more loaded. Variety from my daily life, not amazing but fun to watch",neutral,train_csv
ugh! nothing to do in the valley  Seriously gotta move out of here!!!,negative,test_csv
" ooh i know it, i can hold your hand",neutral,train_csv
back from driving and now back to bed,neutral,train_csv
 Ooh really?!! Well you know you`re always welcome!!,positive,train_csv
" I always choose to be a good guy, even if I know its only a game, i feel a bit bad doing evil things",neutral,train_csv
 ooh thats an early start  ive got bed planned for that time..ha..LoveYouJonesy ****,positive,test_csv
My stomach is killing me do I can`t sleep,negative,train_csv
" awh, thats not good,   get better soon!",negative,train_csv
Just watched Star Trek. A+! That was so well done. I think I`m down to see it again. Who wants to join me?,positive,train_csv
I need words of inspiration  where`s  and  when you need them??,positive,train_csv
 i like,positive,train_csv
  you`re mean to me. You`re gonna have to have pizza tonight or it will go off.,negative,train_csv
 Thank you! I hope you have a great rest of your day! Have you had your afternoon coffee yet?,positive,train_csv
welcome to the family new pillow  im going to lay my head on you tonight!!!,positive,train_csv
Demi is a super girl but she don`t like the french fans,neutral,train_csv
_I Yeah poor Yao! Hope u had fun looking at the Lakers JerseyZ haha! Enjoy ur time buddy !,positive,train_csv
 Hey I saw SNL 2nite&I loved it!! especially the crumpin` ****-**** scene  'crumpin`34 dub' wow hilarious,positive,train_csv
" If you click on Settings, there is a link to the public timeline at the bottom of that page.",neutral,train_csv
is going to shul,neutral,train_csv
"okay, need to hit the sack.  i gotta wake up in like 5 hours   goodnight everyone!",positive,train_csv
" that`s me right now, all I can do is stare at everyone else working on thier laptops",neutral,test_csv
 I think I should... But with who? Hmmmm. Maybe a friend in ALASKA,neutral,train_csv
 **** it. You don`t look well. You have to go home.,negative,train_csv
About to get crazy,neutral,train_csv
